package_name,source,download_link,owner,repository,sub
drtracker,github,,royfrancis,drtracker,
hab,github,,basille,hab,
movement,github,,SEEG-Oxford,movement,
probGLS,github,,Benjamin-merkel,probGLS,
rbl,github,,SESman,rbl,
rhr,github,,jmsigner,rhr,
SGAT,github,,Swotherspoon,SGAT,
telemetr,github,,barryrowlingson,telemetr,
argosTrack,github,,calbertsen,argosTrack,argosTrack
feedr,github,,animalnexus,feedr,
kftrack,github,,positioning,kalmanfilter,kftrack
lsmnsd,github,,BastilleRousseau,lsmnsd,
migrateR,github,,dbspitz,migrateR,migrateR
moveNT,github,,BastilleRousseau,moveNT,
pathtrackr,github,,aharmer,pathtrackr,
trackit,github,,positioning,kalmanfilter,trackit
TwGeos,github,,slisovski,TwGeos,
TwilightFree,github,,Abindoff,TwilightFree,
ukfsst,github,,positioning,kalmanfilter,ukfsst
movementAnalysis,other,https://www.win.tue.nl/~kbuchin/proj/R/movementAnalysis/movementAnalysis_0.6.tar.gz,,,
SwimR,other,https://bioconductor.org/packages/release/bioc/src/contrib/SwimR_1.24.0.tar.gz,,,
tlocoh,other,http://download.r-forge.r-project.org/src/contrib/tlocoh_1.40.07.tar.gz,,,
acc,cran,,,,
animalTrack,cran,,,,
argosfilter,cran,,,,
BayesianAnimalTracker,cran,,,,
BBMM,cran,,,,
bcpa,cran,,,,
caribou,cran,,,,
m2b,cran,,,,
mkde,cran,,,,
pawacc,cran,,,,
SimilarityMeasures,cran,,,,
smam,cran,,,,
TrackReconstruction,cran,,,,
accelerometry,cran,,,,
adehabitatHR,cran,,,,
adehabitatHS,cran,,,,
adehabitatLT,cran,,,,
amt,cran,,,,
anipaths,cran,,,,
bsam,cran,,,,
crawl,cran,,,,
ctmcmove,cran,,,,
ctmm,cran,,,,
diveMove,cran,,,,
EMbC,cran,,,,
FLightR,cran,,,,
GeoLight,cran,,,,
GGIR,cran,,,,
HMMoce,cran,,,,
marcher,cran,,,,
momentuHMM,cran,,,,
move,cran,,,,
moveHMM,cran,,,,
moveVis,cran,,,,
moveWindSpeed,cran,,,,
nparACT,cran,,,,
PhysicalActivity,cran,,,,
recurse,cran,,,,
rpostgisLT,cran,,,,
rsMove,cran,,,,
SDLfilter,cran,,,,
segclust2d,cran,,,,
SiMRiv,cran,,,,
trackdem,cran,,,,
trackeR,cran,,,,
TrajDataMining,cran,,,,
trajectories,cran,,,,
trajr,cran,,,,
trip,cran,,,,
VTrack,cran,,,,
wildlifeDI,cran,,,,
