package_name,source,download_link,owner,repository,sub,date_added_to_list,skip,comments,Pre-processing-GLS-threshold,Pre-processing-GLS-curve-fitting,Pre-processing-Twilight-free,Pre-processing-Triang,Pre-processing-GLS-DR,Post-processing-cleaning,Post-processing-compression,Post-processing-metrics,Visualization,Track-description,Path-reconstruction,Behav-clustering,Behav-segment,Behav-HMM,Space-HR,Space-HU,Space-non-convent,Simulation,Interactions,Similarity,Population-size,Environm,DB,Biologg,Non-biologg
drtracker,github,,royfrancis,drtracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hab,github,,basille,hab,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
movement,github,,SEEG-Oxford,movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
probGLS,github,,Benjamin-merkel,probGLS,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
rbl,github,,SESman,rbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
rhr,github,,jmsigner,rhr,,,,,,,,,,,,T,,,,,,,T,,,,,,,,,,
SGAT,github,,Swotherspoon,SGAT,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,
telemetr,github,,barryrowlingson,telemetr,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,
argosTrack,github,,calbertsen,argosTrack,argosTrack,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,
feedr,github,,animalnexus,feedr,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,
kftrack,github,,positioning,kalmanfilter,kftrack,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
lsmnsd,github,,BastilleRousseau,lsmnsd,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,
migrateR,github,,dbspitz,migrateR,migrateR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moveNT,github,,BastilleRousseau,moveNT,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,
pathtrackr,github,,aharmer,pathtrackr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackit,github,,positioning,kalmanfilter,trackit,,,,,T,,,,,,,,,,,,,,,,,,,,,,,
TwilightFree,github,,Abindoff,TwilightFree,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
ukfsst,github,,positioning,kalmanfilter,ukfsst,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
movementAnalysis,other,https://www.win.tue.nl/~kbuchin/proj/R/movementAnalysis/movementAnalysis_0.6.tar.gz,,,,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,
SwimR,bioc,https://bioconductor.org/packages/3.11/bioc/html/SwimR.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
tlocoh,rforge,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,,
acc,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
animalTrack,cran,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
argosfilter,cran,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
BayesianAnimalTracker,cran,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
BBMM,cran,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,
bcpa,cran,,,,,,,,,,,,,,,T,,,,,T,,,,,,,,,,,,
caribou,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,
m2b,cran,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
mkde,cran,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,
pawacc,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
SimilarityMeasures,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,
smam,cran,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,
TrackReconstruction,cran,,,,,,,,,,,,T,,,,,,T,,,,,,,,,,,,,,
accelerometry,cran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
adehabitatHR,cran,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,
adehabitatLT,cran,,,,,,,,,,,,,,T,T,,,,,T,,,,,T,,,,,,,
amt,cran,,,,,,,,,,,,,,T,T,,T,,,,,T,T,,,,,,,,,
anipaths,cran,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
bsam,cran,,,,,,,,,,,,,,,,,,T,,,T,,,,T,,,,,,,
crawl,cran,,,,,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,
ctmcmove,cran,,,,,,,,,,,,,,,,,,T,,,,,T,,,,,,,,,
